feature_group,feature,model_type,available_in_analysis_file
baseline_harmonised,gender,categorical,True
baseline_harmonised,age_final,numeric,True
baseline_harmonised,education_level,categorical,True
baseline_harmonised,marital_status,categorical,True
baseline_harmonised,region,categorical,True
baseline_harmonised,industry_major,categorical,True
baseline_harmonised,occupation_major,categorical,True
baseline_harmonised,tenure_years,numeric,True
baseline_harmonised,weekly_hours,numeric,True
baseline_harmonised,weekly_hours_missing,numeric,True
baseline_harmonised,gt48,numeric,True
baseline_harmonised,gt52,numeric,True
baseline_harmonised,ge55,numeric,True
baseline_harmonised,monthly_wage,numeric,True
baseline_harmonised,monthly_wage_missing,numeric,True
baseline_harmonised,log_monthly_wage,numeric,True
baseline_harmonised,one_person_firm_flag,numeric,True
expanded_raw_questionnaire,relation_to_head,categorical,True
expanded_raw_questionnaire,education_completion,categorical,True
expanded_raw_questionnaire,education_grade,categorical,True
expanded_raw_questionnaire,health_status,categorical,True
expanded_raw_questionnaire,health_change,categorical,True
expanded_raw_questionnaire,household_size_raw,numeric,True
expanded_raw_questionnaire,housing_tenure_type,categorical,True
expanded_raw_questionnaire,housing_type,categorical,True
expanded_raw_questionnaire,housing_deposit,numeric,True
expanded_raw_questionnaire,housing_rent,numeric,True
expanded_raw_questionnaire,household_annual_earned_income,numeric,True
expanded_raw_questionnaire,household_monthly_earned_income,numeric,True
expanded_raw_questionnaire,household_medical_cost,numeric,True
expanded_raw_questionnaire,household_monthly_savings,numeric,True
expanded_raw_questionnaire,household_bank_savings,numeric,True
expanded_raw_questionnaire,household_debt_exists,categorical,True
expanded_raw_questionnaire,household_financial_condition,categorical,True
expanded_raw_questionnaire,household_income_per_capita,numeric,True
expanded_raw_questionnaire,housing_cost_burden,numeric,True
expanded_raw_questionnaire,housing_deposit_to_income,numeric,True
expanded_raw_questionnaire,savings_to_income,numeric,True
expanded_raw_questionnaire,employment_type,categorical,True
expanded_raw_questionnaire,work_status,categorical,True
expanded_raw_questionnaire,work_type,categorical,True
expanded_raw_questionnaire,job_position,categorical,True
expanded_raw_questionnaire,regular_worker,categorical,True
expanded_raw_questionnaire,business_place,categorical,True
expanded_raw_questionnaire,workplace_type,categorical,True
expanded_raw_questionnaire,firm_size_band,categorical,True
expanded_raw_questionnaire,worksite_size,numeric,True
expanded_raw_questionnaire,worksite_size_band,categorical,True
expanded_raw_questionnaire,contract_period,categorical,True
expanded_raw_questionnaire,written_contract,categorical,True
expanded_raw_questionnaire,expected_duration,categorical,True
expanded_raw_questionnaire,voluntary_work_form,categorical,True
expanded_raw_questionnaire,fixed_work_hours,categorical,True
expanded_raw_questionnaire,weekly_work_days,numeric,True
expanded_raw_questionnaire,regular_weekly_hours,numeric,True
expanded_raw_questionnaire,regular_weekly_days,numeric,True
expanded_raw_questionnaire,overtime_work,categorical,True
expanded_raw_questionnaire,overtime_hours,numeric,True
expanded_raw_questionnaire,overtime_days,numeric,True
expanded_raw_questionnaire,overtime_pay,numeric,True
expanded_raw_questionnaire,pay_schedule,categorical,True
expanded_raw_questionnaire,pay_method,categorical,True
expanded_raw_questionnaire,performance_pay,categorical,True
expanded_raw_questionnaire,monthly_tax_deduction,numeric,True
expanded_raw_questionnaire,starting_monthly_wage,numeric,True
expanded_raw_questionnaire,annual_earned_income,numeric,True
expanded_raw_questionnaire,aftertax_earned_income,numeric,True
expanded_raw_questionnaire,national_pension,categorical,True
expanded_raw_questionnaire,health_insurance,categorical,True
expanded_raw_questionnaire,employment_insurance,categorical,True
expanded_raw_questionnaire,industrial_accident_insurance,categorical,True
expanded_raw_questionnaire,current_employment_insurance,categorical,True
expanded_raw_questionnaire,union_exists,categorical,True
expanded_raw_questionnaire,union_member,categorical,True
expanded_raw_questionnaire,log_annual_earned_income,numeric,True
expanded_raw_questionnaire,log_aftertax_earned_income,numeric,True
expanded_raw_questionnaire,log_starting_monthly_wage,numeric,True
expanded_raw_questionnaire,hourly_wage_proxy,numeric,True
expanded_raw_questionnaire,log_hourly_wage_proxy,numeric,True
expanded_raw_questionnaire,tax_deduction_ratio,numeric,True
expanded_raw_questionnaire,wage_growth_since_start,numeric,True
expanded_raw_questionnaire,job_sat_wage,numeric,True
expanded_raw_questionnaire,job_sat_stability,numeric,True
expanded_raw_questionnaire,job_sat_content,numeric,True
expanded_raw_questionnaire,job_sat_environment,numeric,True
expanded_raw_questionnaire,job_sat_hours,numeric,True
expanded_raw_questionnaire,job_sat_development,numeric,True
expanded_raw_questionnaire,job_sat_relationships,numeric,True
expanded_raw_questionnaire,job_sat_promotion,numeric,True
expanded_raw_questionnaire,job_sat_welfare,numeric,True
expanded_raw_questionnaire,job_sat_overall_workplace,numeric,True
expanded_raw_questionnaire,job_sat_overall_work,numeric,True
expanded_raw_questionnaire,job_satisfaction_mean,numeric,True
expanded_raw_questionnaire,job_satisfaction_missing_count,numeric,True
nonlinear_interactions,age_squared,numeric,True
nonlinear_interactions,tenure_squared,numeric,True
nonlinear_interactions,log_tenure_years,numeric,True
nonlinear_interactions,age_x_tenure,numeric,True
nonlinear_interactions,age_x_weekly_hours,numeric,True
nonlinear_interactions,wage_x_tenure,numeric,True
nonlinear_interactions,wage_x_hours,numeric,True
nonlinear_interactions,hours_x_tenure,numeric,True
nonlinear_interactions,young_worker_flag,numeric,True
nonlinear_interactions,older_worker_flag,numeric,True
nonlinear_interactions,short_tenure_flag,numeric,True
nonlinear_interactions,long_tenure_flag,numeric,True
time_aware_panel_features,survey_year_centered,numeric,True
time_aware_panel_features,post_2018_workweek_reform,numeric,True
time_aware_panel_features,covid_period,numeric,True
time_aware_panel_features,post_covid_period,numeric,True
time_aware_panel_features,panel_observation_number,numeric,True
time_aware_panel_features,prior_observation_count,numeric,True
time_aware_panel_features,waves_since_first_observed,numeric,True
time_aware_panel_features,prior_wage_worker_count,numeric,True
time_aware_panel_features,prior_non_wage_worker_count,numeric,True
time_aware_panel_features,prior_wage_worker_share,numeric,True
time_aware_panel_features,monthly_wage_lag1,numeric,True
time_aware_panel_features,weekly_hours_lag1,numeric,True
time_aware_panel_features,tenure_years_lag1,numeric,True
time_aware_panel_features,firm_size_lag1,numeric,True
time_aware_panel_features,wage_change_lag1,numeric,True
time_aware_panel_features,wage_pct_change_lag1,numeric,True
time_aware_panel_features,hours_change_lag1,numeric,True
time_aware_panel_features,hours_pct_change_lag1,numeric,True
time_aware_panel_features,tenure_change_lag1,numeric,True
time_aware_panel_features,wage_drop_flag,numeric,True
time_aware_panel_features,hours_drop_flag,numeric,True
time_aware_panel_features,occupation_changed_lag1,numeric,True
time_aware_panel_features,industry_changed_lag1,numeric,True
time_aware_panel_features,region_changed_lag1,numeric,True
time_aware_panel_features,firm_size_changed_lag1,numeric,True
time_aware_panel_features,wage_rolling3_mean,numeric,True
time_aware_panel_features,wage_rolling3_std,numeric,True
time_aware_panel_features,hours_rolling3_mean,numeric,True
time_aware_panel_features,hours_rolling3_std,numeric,True
time_aware_panel_features,wage_percentile_wave,numeric,True
time_aware_panel_features,hours_percentile_wave,numeric,True
time_aware_panel_features,wage_to_wave_median,numeric,True
time_aware_panel_features,wage_to_industry_wave_median,numeric,True
time_aware_panel_features,wage_to_occupation_wave_median,numeric,True
