split_scheme,model,dataset,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
chronological,logistic,valid,0.7049107242601931,0.1979887413984704,0.27679811905525276,0.17334541099960027,0.23136049192928518,2.3128031309111177,0.4062259800153728,2.0308169973385506
chronological,logistic,test,0.6990821914608464,0.16944232809735404,0.2446043165467626,0.17003514106292,0.2325678496868476,2.3250771023550634,0.3974947807933194,1.9873270372454466
chronological,random_forest,valid,0.724116692238077,0.21421250877908143,0.21481659074562456,0.11641696556087683,0.2544196771714066,2.543315070869036,0.4215987701767871,2.1076691069823936
chronological,random_forest,test,0.7288561618121641,0.19339787467932612,0.19263157894736843,0.10967334147324302,0.26221294363256786,2.6214513829066064,0.4421711899791232,2.2106925760955125
chronological,xgboost,valid,0.7262218460977651,0.213490067417502,0.01794392523364486,0.08510500015124224,0.2544196771714066,2.543315070869036,0.4223674096848578,2.1115117124645857
chronological,xgboost,test,0.7243821160036601,0.19043382633418382,0.026559356136820925,0.07716971655007504,0.25177453027139873,2.5170942418673308,0.43173277661795406,2.158504366083815
chronological,catboost,valid,0.7252895099677167,0.21715598686819054,0.018811136192626036,0.08494606150601193,0.2605687932359723,2.604784921524481,0.4208301306687164,2.1038265015002016
chronological,catboost,test,0.7305824692204755,0.19714146436937177,0.019583843329253364,0.07675090609587412,0.25636743215031316,2.563011383924612,0.44091858037578285,2.204429990894109
chronological,hybrid_stack,valid,0.7311751517165531,0.22330144382796777,0.28964904486894716,0.18355819271146953,0.26287471176018445,2.627836115520273,0.4285165257494235,2.142252556322123
chronological,hybrid_stack,test,0.7343991844259616,0.1993753925546906,0.272921588480144,0.18100952883499355,0.26805845511482257,2.6798913818886008,0.44843423799582466,2.2420055021025314
random,logistic,valid,0.7184863492070492,0.2283369242318728,0.2906755470980019,0.20748855886417067,0.25336640680368533,2.5327860173394208,0.4181431608788094,2.0903937222366205
random,logistic,test,0.7125906773382588,0.23058122409922074,0.287710770165578,0.20882484472340068,0.25084976206662135,2.507848951166965,0.4187627464309993,2.0936590073272003
random,random_forest,valid,0.7307315610165283,0.24907215654241194,0.2804363124560169,0.13319923046359347,0.26541459957476965,2.6532261915905258,0.44153082919914954,2.207314049073584
random,random_forest,test,0.7318179382887506,0.25435208571457485,0.2828351836037575,0.13267615605992591,0.2637661454792658,2.6369793849668897,0.44663494221617944,2.2330096880096924
random,xgboost,valid,0.7408670764233863,0.25932882168061483,0.04611732790776534,0.0892461929837947,0.2767540751240255,2.7665816497092135,0.4482636428065202,2.2409729310418007
random,xgboost,test,0.7391286540262072,0.26452941859278956,0.0519311911716975,0.08913114201679388,0.2671651937457512,2.6709610780721333,0.4537729435757988,2.2686970574527696
random,catboost,valid,0.7520833404162175,0.28027681195170207,0.02560553633217993,0.0881447253841569,0.29978738483345146,2.996834924012797,0.4780297661233168,2.3897806197433904
random,catboost,test,0.7536667826785707,0.29231335392410623,0.034540019926934576,0.08774918149143097,0.29843643779741674,2.983592654640373,0.4864038069340585,2.43183931776398
random,hybrid_stack,valid,0.7436768374433511,0.2653408665712346,0.3123292349726776,0.2051712985276706,0.2852586817859674,2.8515982432982288,0.45676824946846206,2.283489413527969
random,hybrid_stack,test,0.7428388108209598,0.27334196952019524,0.31423441070845576,0.2049627161312959,0.27736233854520737,2.772906157387864,0.4571719918422842,2.285691042901854
