model,calibration_method,bin,n,mean_predicted,observed_rate,absolute_error
logistic,raw,1,2707,0.06392010416689761,0.010343553749538234,0.05357655041735938
logistic,raw,2,2707,0.13191835983573316,0.030291835980790542,0.10162652385494261
logistic,raw,3,2707,0.19039246233744822,0.040265977096416695,0.15012648524103153
logistic,raw,4,2706,0.24407944864403186,0.05543237250554324,0.18864707613848863
logistic,raw,5,2706,0.30039533153172354,0.07058388765705839,0.22981144387466515
logistic,raw,6,2706,0.35959598345838834,0.09275683665927568,0.26683914679911264
logistic,raw,7,2706,0.4221511105637299,0.1049519586104952,0.31719915195323467
logistic,raw,8,2706,0.49096045175221525,0.1304508499630451,0.36050960178917013
logistic,raw,9,2706,0.578032145627288,0.1400591278640059,0.4379730177632821
logistic,raw,10,2706,0.7338701695898091,0.2099039172209904,0.5239662523688187
logistic,platt,1,2707,0.031582243741821205,0.010343553749538234,0.02123868999228297
logistic,platt,2,2707,0.03968334372166866,0.030291835980790542,0.009391507740878116
logistic,platt,3,2707,0.04824563344554847,0.040265977096416695,0.007979656349131774
logistic,platt,4,2706,0.057645086132651846,0.05543237250554324,0.002212713627108606
logistic,platt,5,2706,0.06934141217010462,0.07058388765705839,0.0012424754869537757
logistic,platt,6,2706,0.08397718643625654,0.09275683665927568,0.008779650223019145
logistic,platt,7,2706,0.10244691284931681,0.1049519586104952,0.0025050457611783816
logistic,platt,8,2706,0.1268640506437096,0.1304508499630451,0.003586799319335504
logistic,platt,9,2706,0.16482858468664088,0.1400591278640059,0.024769456822634983
logistic,platt,10,2706,0.25647339452417206,0.2099039172209904,0.04656947730318167
logistic,isotonic,1,2707,0.010194457589735525,0.009974141115626155,0.00022031647410936973
logistic,isotonic,2,2707,0.027717396089171988,0.03176948651643886,0.004052090427266876
logistic,isotonic,3,2707,0.048438414504584595,0.0384189139268563,0.010019500577728296
logistic,isotonic,4,2706,0.06454818038895996,0.056910569105691054,0.007637611283268904
logistic,isotonic,5,2706,0.0772526846321855,0.06947524020694752,0.007777444425237978
logistic,isotonic,6,2706,0.0914679154048499,0.0942350332594235,0.002767117854573606
logistic,isotonic,7,2706,0.11543821028562806,0.10975609756097561,0.005682112724652452
logistic,isotonic,8,2706,0.138080042443305,0.12416851441241686,0.013911528030888132
logistic,isotonic,9,2706,0.1727066609952015,0.14301552106430154,0.029691139930899946
logistic,isotonic,10,2706,0.23564588844401851,0.2073170731707317,0.028328815273286817
random_forest,raw,1,2707,0.07580115304065584,0.009974141115626155,0.06582701192502968
random_forest,raw,2,2707,0.11731785940925248,0.01847063169560399,0.09884722771364848
random_forest,raw,3,2707,0.15294060299627854,0.029183598079054303,0.12375700491722424
random_forest,raw,4,2706,0.19053138459025964,0.04804138950480414,0.1424899950854555
random_forest,raw,5,2706,0.2279316216122343,0.06282335550628233,0.16510826610595197
random_forest,raw,6,2706,0.26166494548111424,0.08943089430894309,0.17223405117217117
random_forest,raw,7,2706,0.2955461787114326,0.10273466371027347,0.19281151500115917
random_forest,raw,8,2706,0.3344539221494989,0.13303769401330376,0.2014162281361951
random_forest,raw,9,2706,0.3883949298087497,0.1589061345158906,0.22948879529285907
random_forest,raw,10,2706,0.5126986127606687,0.23244641537324465,0.28025219738742413
random_forest,platt,1,2707,0.032225000286248896,0.009974141115626155,0.022250859170622743
random_forest,platt,2,2707,0.03980965295728931,0.01847063169560399,0.021339021261685322
random_forest,platt,3,2707,0.0477512510185561,0.029183598079054303,0.0185676529395018
random_forest,platt,4,2706,0.0577603933234852,0.04804138950480414,0.009719003818681057
random_forest,platt,5,2706,0.06962358606999584,0.06282335550628233,0.006800230563713511
random_forest,platt,6,2706,0.08221999054783913,0.08943089430894309,0.007210903761103962
random_forest,platt,7,2706,0.09695278769988801,0.10273466371027347,0.005781876010385462
random_forest,platt,8,2706,0.11678321328210496,0.13303769401330376,0.016254480731198798
random_forest,platt,9,2706,0.1501941687036188,0.1589061345158906,0.008711965812271821
random_forest,platt,10,2706,0.26148369471533633,0.23244641537324465,0.029037279342091687
random_forest,isotonic,1,2707,0.0071055630696507995,0.009235315847801994,0.002129752778151195
random_forest,isotonic,2,2707,0.01968133675055727,0.019578869597340228,0.00010246715321704167
random_forest,isotonic,3,2707,0.03709929599488418,0.03140007388252678,0.005699222112357398
random_forest,isotonic,4,2706,0.05991165423684366,0.043237250554323724,0.016674403682519934
random_forest,isotonic,5,2706,0.07561871099169432,0.06504065040650407,0.010578060585190244
random_forest,isotonic,6,2706,0.10827805284267701,0.08943089430894309,0.01884715853373392
random_forest,isotonic,7,2706,0.11478646036778144,0.10753880266075388,0.007247657707027552
random_forest,isotonic,8,2706,0.12894272090720887,0.12897265336289726,2.9932455688386206e-05
random_forest,isotonic,9,2706,0.16485139677685107,0.1581670362158167,0.006684360561034358
random_forest,isotonic,10,2706,0.24336097616844982,0.23244641537324465,0.01091456079520517
xgboost,raw,1,2707,0.011629891430291835,0.007018840044329516,0.004611051385962319
xgboost,raw,2,2707,0.023594105303287774,0.01994828223125231,0.003645823072035464
xgboost,raw,3,2707,0.03578685852124122,0.028075360177318064,0.007711498343923158
xgboost,raw,4,2706,0.050568947589430896,0.050997782705099776,0.00042883511566887966
xgboost,raw,5,2706,0.06948303990465632,0.06577974870657798,0.003703291198078343
xgboost,raw,6,2706,0.09171625505099779,0.09164818920916482,6.806584183297049e-05
xgboost,raw,7,2706,0.11521576002993347,0.10532150776053215,0.009894252269401327
xgboost,raw,8,2706,0.1427056495232816,0.13082039911308205,0.011885250410199555
xgboost,raw,9,2706,0.18069715723207688,0.16038433111603842,0.020312826116038463
xgboost,raw,10,2706,0.28537171507021436,0.22505543237250555,0.060316282697708806
xgboost,platt,1,2707,0.04747653952395088,0.007018840044329516,0.04045769947962136
xgboost,platt,2,2707,0.0516210045383617,0.01994828223125231,0.031672722307109394
xgboost,platt,3,2707,0.05619990602715676,0.028075360177318064,0.028124545849838693
xgboost,platt,4,2706,0.06227050644600399,0.050997782705099776,0.011272723740904211
xgboost,platt,5,2706,0.07093602867214177,0.06577974870657798,0.005156279965563795
xgboost,platt,6,2706,0.0825220343996604,0.09164818920916482,0.00912615480950442
xgboost,platt,7,2706,0.09660684820458983,0.10532150776053215,0.00871465955594232
xgboost,platt,8,2706,0.11582332778632315,0.13082039911308205,0.014997071326758898
xgboost,platt,9,2706,0.14796244691920155,0.16038433111603842,0.012421884196836874
xgboost,platt,10,2706,0.2813558290435089,0.22505543237250555,0.05630039667100337
xgboost,isotonic,1,2707,0.006681377411331823,0.0066494274104174364,3.195000091438683e-05
xgboost,isotonic,2,2707,0.016589340490755007,0.02031769486516439,0.0037283543744093817
xgboost,isotonic,3,2707,0.036928777843145265,0.028075360177318064,0.008853417665827201
xgboost,isotonic,4,2706,0.056337799293991034,0.04841093865484109,0.007926860639149942
xgboost,isotonic,5,2706,0.08027773499055033,0.06688839615668885,0.01338933883386148
xgboost,isotonic,6,2706,0.10227368043303627,0.09164818920916482,0.01062549122387145
xgboost,isotonic,7,2706,0.12662271755925128,0.10643015521064302,0.020192562348608264
xgboost,isotonic,8,2706,0.1475654052753248,0.1319290465631929,0.015636358712131898
xgboost,isotonic,9,2706,0.1707995924699471,0.16112342941611235,0.009676163053834758
xgboost,isotonic,10,2706,0.2679467106214495,0.22357723577235772,0.04436947484909176
catboost,raw,1,2707,0.0189883998323762,0.007757665312153676,0.011230734520222524
catboost,raw,2,2707,0.03372121041512237,0.01810121906169191,0.015619991353430458
catboost,raw,3,2707,0.04632016099440682,0.030291835980790542,0.016028325013616278
catboost,raw,4,2706,0.06004826955997191,0.050997782705099776,0.009050486854872135
catboost,raw,5,2706,0.07636584347311329,0.06171470805617147,0.014651135416941817
catboost,raw,6,2706,0.09370998031129707,0.08721359940872137,0.006496380902575705
catboost,raw,7,2706,0.1117831862346916,0.10643015521064302,0.005353031024048591
catboost,raw,8,2706,0.13543116270871788,0.12638580931263857,0.009045353396079314
catboost,raw,9,2706,0.17253905730457506,0.16260162601626016,0.009937431288314896
catboost,raw,10,2706,0.27610960951445535,0.2335550628233555,0.04255454669109984
catboost,platt,1,2707,0.04809433876147518,0.007757665312153676,0.04033667344932151
catboost,platt,2,2707,0.05347014374068995,0.01810121906169191,0.03536892467899804
catboost,platt,3,2707,0.058525871887469716,0.030291835980790542,0.028234035906679174
catboost,platt,4,2706,0.06455312645826548,0.050997782705099776,0.013555343753165708
catboost,platt,5,2706,0.072462647824079,0.06171470805617147,0.010747939767907534
catboost,platt,6,2706,0.0818349590526808,0.08721359940872137,0.005378640356040562
catboost,platt,7,2706,0.09277027513481709,0.10643015521064302,0.013659880075825928
catboost,platt,8,2706,0.10911257412383875,0.12638580931263857,0.01727323518879982
catboost,platt,9,2706,0.14002806085151895,0.16260162601626016,0.02257356516474121
catboost,platt,10,2706,0.2720965413932044,0.2335550628233555,0.03854147856984888
catboost,isotonic,1,2707,0.005989870597601713,0.007388252678241596,0.0013983820806398829
catboost,isotonic,2,2707,0.018649869060487063,0.01773180642777983,0.0009180626327072311
catboost,isotonic,3,2707,0.039133411906281765,0.030291835980790542,0.008841575925491223
catboost,isotonic,4,2706,0.059725741690606106,0.050997782705099776,0.00872795898550633
catboost,isotonic,5,2706,0.08076726821846317,0.0646711012564671,0.01609616696199606
catboost,isotonic,6,2706,0.10146473236004351,0.0827790096082779,0.01868572275176561
catboost,isotonic,7,2706,0.11868638901373317,0.10827790096082779,0.010408488052905382
catboost,isotonic,8,2706,0.14159589413423634,0.12897265336289726,0.012623240771339084
catboost,isotonic,9,2706,0.16275924062403868,0.16112342941611235,0.0016358112079263298
catboost,isotonic,10,2706,0.2644787095266369,0.2328159645232816,0.03166274500335528
hybrid_stack,raw,1,2707,0.19692077060343754,0.0066494274104174364,0.1902713431930201
hybrid_stack,raw,2,2707,0.22920222270300533,0.01920945696342815,0.20999276573957718
hybrid_stack,raw,3,2707,0.25988852946179075,0.030661248614702624,0.22922728084708813
hybrid_stack,raw,4,2706,0.29453978809235376,0.04434589800443459,0.25019389008791915
hybrid_stack,raw,5,2706,0.3367842440880072,0.06873614190687362,0.2680481021811336
hybrid_stack,raw,6,2706,0.3830496944331257,0.08795269770879527,0.29509699672433043
hybrid_stack,raw,7,2706,0.4334250412447161,0.10236511456023652,0.3310599266844796
hybrid_stack,raw,8,2706,0.49288965166736526,0.12823355506282336,0.3646560966045419
hybrid_stack,raw,9,2706,0.5805737142015539,0.15927568366592756,0.4212980305356263
hybrid_stack,raw,10,2706,0.7609747554563818,0.237620103473762,0.5233546519826198
hybrid_stack,platt,1,2707,0.037497705446014815,0.0066494274104174364,0.03084827803559738
hybrid_stack,platt,2,2707,0.042600321446728186,0.01920945696342815,0.023390864483300036
hybrid_stack,platt,3,2707,0.048075871511427656,0.030661248614702624,0.017414622896725032
hybrid_stack,platt,4,2706,0.05506726537796726,0.04434589800443459,0.010721367373532666
hybrid_stack,platt,5,2706,0.06489157016598125,0.06873614190687362,0.0038445717408923663
hybrid_stack,platt,6,2706,0.07748411990086973,0.08795269770879527,0.010468577807925539
hybrid_stack,platt,7,2706,0.09372240312238969,0.10236511456023652,0.008642711437846826
hybrid_stack,platt,8,2706,0.11684449776839939,0.12823355506282336,0.011389057294423965
hybrid_stack,platt,9,2706,0.1600930168809549,0.15927568366592756,0.0008173332150273327
hybrid_stack,platt,10,2706,0.2898447644587991,0.237620103473762,0.052224660985037086
hybrid_stack,isotonic,1,2707,0.005010001294205127,0.006280014776505356,0.0012700134823002288
hybrid_stack,isotonic,2,2707,0.019664154101585292,0.021425932766900628,0.0017617786653153361
hybrid_stack,isotonic,3,2707,0.03557714248928344,0.030291835980790542,0.005285306508492897
hybrid_stack,isotonic,4,2706,0.06065970523370973,0.044715447154471545,0.01594425807923819
hybrid_stack,isotonic,5,2706,0.07684215409038035,0.0639320029563932,0.01291015113398715
hybrid_stack,isotonic,6,2706,0.09701254020524633,0.09386548410938655,0.0031470560958597737
hybrid_stack,isotonic,7,2706,0.11672257326814245,0.10051736881005174,0.016205204458090705
hybrid_stack,isotonic,8,2706,0.14594305888886158,0.13303769401330376,0.012905364875557823
hybrid_stack,isotonic,9,2706,0.16603833747835484,0.15558019216555802,0.010458145312796818
hybrid_stack,isotonic,10,2706,0.2645023557616635,0.2354028085735403,0.029099547188123187
