model,calibration_method,n,brier,ece_10bin,mce_10bin
logistic,raw,27063,0.16700369807344212,0.2630096499501533,0.5239662523688187
logistic,platt,27063,0.07777625476265129,0.012827551963168897,0.04656947730318167
logistic,isotonic,27063,0.07763586136220886,0.011008075448939659,0.029691139930899946
random_forest,raw,27063,0.1078766583942946,0.16721534993870593,0.28025219738742413
random_forest,platt,27063,0.07662566995703626,0.014568009288853082,0.029037279342091687
random_forest,isotonic,27063,0.07633521140696356,0.007890175999828788,0.01884715853373392
xgboost,raw,27063,0.07661620016740614,0.012256948891431108,0.060316282697708806
xgboost,platt,27063,0.07733792453177317,0.021825699003561322,0.05630039667100337
xgboost,isotonic,27063,0.07645374849666853,0.013441973068279304,0.04436947484909176
catboost,raw,27063,0.07628391150663782,0.013996774488966439,0.04255454669109984
catboost,platt,27063,0.07705046506802772,0.022568310741458434,0.04033667344932151
catboost,isotonic,27063,0.07620730088915606,0.011098997293562729,0.03166274500335528
hybrid_stack,raw,27063,0.181084292693461,0.3083089906612042,0.5233546519826198
hybrid_stack,platt,27063,0.07654373384108121,0.01697697033835383,0.052224660985037086
hybrid_stack,isotonic,27063,0.07612337750453359,0.010897781757854354,0.029099547188123187
