model_a,model_b,auc_a,auc_b,auc_diff_a_minus_b,ci_2.5,ci_97.5,bootstrap_n,method,seed
logistic,random_forest,0.7002846824620099,0.7318167984825963,-0.031532116020586365,-0.038586711512242626,-0.024567297927883685,2000,paired nonparametric bootstrap on held-out test observations,20260529
logistic,xgboost,0.7002846824620099,0.7297602347060402,-0.029475552244030312,-0.035935119248624935,-0.02280309876161064,2000,paired nonparametric bootstrap on held-out test observations,20260529
logistic,catboost,0.7002846824620099,0.7336272970179685,-0.03334261455595855,-0.04040009987657048,-0.02629452511665201,2000,paired nonparametric bootstrap on held-out test observations,20260529
logistic,hybrid_stack,0.7002846824620099,0.7345100513102096,-0.03422536884819971,-0.03959307645287602,-0.02883076787672802,2000,paired nonparametric bootstrap on held-out test observations,20260529
random_forest,xgboost,0.7318167984825963,0.7297602347060402,0.002056563776556053,-0.00206677868872723,0.00663009463758759,2000,paired nonparametric bootstrap on held-out test observations,20260529
random_forest,catboost,0.7318167984825963,0.7336272970179685,-0.0018104985353721847,-0.005416984516830578,0.0018063259120053702,2000,paired nonparametric bootstrap on held-out test observations,20260529
random_forest,hybrid_stack,0.7318167984825963,0.7345100513102096,-0.002693252827613346,-0.005743977912192824,0.0005551742256850006,2000,paired nonparametric bootstrap on held-out test observations,20260529
xgboost,catboost,0.7297602347060402,0.7336272970179685,-0.0038670623119282377,-0.008272558811030211,0.0004343270989383961,2000,paired nonparametric bootstrap on held-out test observations,20260529
xgboost,hybrid_stack,0.7297602347060402,0.7345100513102096,-0.004749816604169399,-0.008359678596631032,-0.0013382320427420139,2000,paired nonparametric bootstrap on held-out test observations,20260529
catboost,hybrid_stack,0.7336272970179685,0.7345100513102096,-0.0008827542922411613,-0.00284876912855358,0.0011657651481907392,2000,paired nonparametric bootstrap on held-out test observations,20260529
