model,metric,bootstrap_mean,ci_2.5,ci_97.5
logistic,roc_auc,0.7003347606305769,0.6909293628473676,0.7102071191620877
logistic,pr_auc,0.17077073873144358,0.16141587116839076,0.18202455456650615
logistic,brier,0.1669405434807774,0.1641723681786466,0.16990835571006493
random_forest,roc_auc,0.7320909345929081,0.7224639324038842,0.7427620657958957
random_forest,pr_auc,0.1954930347353029,0.184421329243025,0.20764010473401956
random_forest,brier,0.10784877986443663,0.10579518116152074,0.10974754697508317
xgboost,roc_auc,0.7300366611840936,0.7201307261412918,0.7409314111976207
xgboost,pr_auc,0.1969900249400097,0.18544337680917822,0.2108881973266188
xgboost,brier,0.0766484167363424,0.07421469972534728,0.0789529528247549
catboost,roc_auc,0.733842759020711,0.7247358686344143,0.7442198115324281
catboost,pr_auc,0.20083940719119486,0.18830030906938192,0.21353387752949993
catboost,brier,0.07631256547653723,0.07402242266941841,0.07857722678855658
hybrid_stack,roc_auc,0.7347099184956084,0.7259242683751345,0.7446887705594327
hybrid_stack,pr_auc,0.20054678459265374,0.18876161362144142,0.21277438757354372
hybrid_stack,brier,0.1810180149086516,0.17829489844935628,0.18378857507164617
