model,split,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
logistic,valid,0.706146013076184,0.19907230244311577,0.2780935723655444,0.17067759160353585,0.23328209069946196,2.332012459240944,0.4077632590315142,2.038502208302935
logistic,test,0.7002846824620099,0.17003225029028882,0.24580879021295876,0.16700369807344212,0.237160751565762,2.3709942444123446,0.3954070981210856,1.976889395243107
random_forest,valid,0.7244171358798612,0.21442593904977872,0.21263940520446098,0.1150142866835717,0.25326671790930055,2.5317894738711404,0.42890084550345886,2.144173859063219
random_forest,test,0.7318167984825963,0.194282014326075,0.17849223946784923,0.1078766583942946,0.2626304801670146,2.6256256685481776,0.4421711899791232,2.2106925760955125
xgboost,valid,0.7320648340959128,0.2218359799944024,0.015071590052750565,0.08448047017073163,0.26479631053036123,2.6470454438501,0.43082244427363564,2.1537803727686993
xgboost,test,0.7297602347060402,0.1960920934692103,0.01869918699186992,0.07661620014934471,0.25427974947807935,2.542139955716757,0.43549060542797496,2.177292121688026
catboost,valid,0.7270274631582649,0.22094975360396354,0.013631200302915562,0.08462451583570509,0.2632590315142198,2.6316779811862383,0.4269792467332821,2.1345673453577385
catboost,test,0.7336272970179685,0.1996540692349116,0.015605749486652977,0.07628391150663782,0.2638830897703549,2.6381485254728907,0.4475991649269311,2.2378304453015954
hybrid_stack,valid,0.7312152470648379,0.2233332137531428,0.29012894619831037,0.18363224769372602,0.26210607225211374,2.620152384188343,0.42813220599538815,2.1403312535810266
hybrid_stack,test,0.7345100513102096,0.19939826263932187,0.2736391299447763,0.181084292693461,0.26847599164926933,2.684065667530172,0.4488517745302714,2.244093030502999
