feature,mean_abs_shap
age_squared,0.08075592883208231
industry_major,0.0804381099797892
age_final,0.07912397878959311
workplace_type,0.07285431543293486
survey_year_centered,0.07247471087682797
occupation_major,0.07183259947402204
gender,0.0606941162520574
region,0.050087390574172795
job_sat_stability,0.04724890157470864
union_exists,0.047195478518005936
wage_pct_change_lag1,0.046969077627709716
older_worker_flag,0.045347634512887466
wage_rolling3_mean,0.04401017093913265
wage_percentile_wave,0.04255708527664634
relation_to_head,0.04084282947848143
job_position,0.03766102670498112
health_insurance,0.036765825131093
expected_duration,0.03663011827764461
tenure_squared,0.036565622802890725
prior_wage_worker_share,0.03506397780846202
education_level,0.03434107209265247
prior_non_wage_worker_count,0.03129131335314902
monthly_wage_lag1,0.030052532769990734
industrial_accident_insurance,0.029786542321000052
tenure_years,0.0293398887144934
employment_insurance,0.028662362700202233
wage_x_tenure,0.028471694339538032
annual_earned_income,0.026244612471495544
household_income_per_capita,0.02605081493146729
union_member,0.02586275860784362
wage_to_wave_median,0.022265271128935483
household_size_raw,0.022113687198502763
contract_period,0.020109023105799796
short_tenure_flag,0.019754167220428515
log_monthly_wage,0.0197142685969771
log_tenure_years,0.01720300212632491
marital_status,0.01675601343983842
work_status,0.0160887555918415
log_aftertax_earned_income,0.015708104970725306
prior_wage_worker_count,0.01550217502366321
work_type,0.015478549649315871
panel_observation_number,0.015352825285398964
aftertax_earned_income,0.015301613209883396
age_x_tenure,0.015226653789236974
education_completion,0.015003976334855935
household_medical_cost,0.014024005296072773
firm_size_lag1,0.013397656300793119
written_contract,0.010790828720785534
monthly_wage,0.010203429838967592
overtime_pay,0.010157226387662133
job_sat_welfare,0.009978706886638
regular_worker,0.009624129205593867
prior_observation_count,0.009198429587408243
job_satisfaction_mean,0.009108510123027947
wage_to_industry_wave_median,0.00889121864848729
health_change,0.008730263390426811
pay_method,0.008481074804159834
wage_rolling3_std,0.00842016036228412
employment_type,0.008391938510480663
wage_to_occupation_wave_median,0.008267094015537449
household_debt_exists,0.008148301019760152
household_annual_earned_income,0.00799142349975273
household_monthly_earned_income,0.00797556782237218
health_status,0.007827323153312162
household_monthly_savings,0.005823160184775748
performance_pay,0.005783990519163901
job_sat_development,0.005698236402846372
monthly_tax_deduction,0.005652050769133426
household_financial_condition,0.005467638367019222
voluntary_work_form,0.005388023456798241
worksite_size_band,0.005363218729109905
household_bank_savings,0.0052586373183668355
fixed_work_hours,0.005066307007659692
worksite_size,0.004950453678904778
log_starting_monthly_wage,0.004796674723183346
tenure_years_lag1,0.004734906068094691
overtime_work,0.004653653496354641
job_sat_overall_work,0.004643925247620857
education_grade,0.004595815081510296
wage_change_lag1,0.004397341393768225
pay_schedule,0.004287268639186094
firm_size_band,0.004160120000146874
overtime_hours,0.004155214593579395
starting_monthly_wage,0.0041094593258159
savings_to_income,0.003960538089022802
housing_tenure_type,0.00393736128996826
wage_x_hours,0.003904011367070413
regular_weekly_hours,0.0038446279800544957
national_pension,0.003796916966912743
housing_type,0.003615855312372092
job_sat_relationships,0.0035663931646288186
age_x_weekly_hours,0.003551044442653473
hourly_wage_proxy,0.003443687755459994
hours_x_tenure,0.0033553199091712004
tenure_change_lag1,0.002993801202996928
job_sat_overall_workplace,0.0028887551371993944
waves_since_first_observed,0.0022544850870747394
housing_deposit,0.002215861313407627
weekly_hours,0.002144025133927992
log_hourly_wage_proxy,0.0020866793608843148
job_sat_environment,0.0019929756424802965
regular_weekly_days,0.0017703315046382689
job_sat_wage,0.0017141240539321363
overtime_days,0.001673080708739721
job_sat_promotion,0.0015932895267079478
wage_growth_since_start,0.0015715202526056166
hours_rolling3_mean,0.0014726686996764317
log_annual_earned_income,0.0012832941279070612
hours_percentile_wave,0.0011309416995412267
weekly_hours_lag1,0.0010381463070703153
housing_rent,0.001025530644601637
housing_cost_burden,0.0009954172354440815
hours_change_lag1,0.0009550505558813706
gt48,0.0008227876622056237
weekly_work_days,0.0007732081618518297
housing_deposit_to_income,0.0007050601068993956
hours_pct_change_lag1,0.0006425289667416127
tax_deduction_ratio,0.0004901677416041022
firm_size_changed_lag1,0.00048478576893676664
hours_rolling3_std,0.0004658562690737659
hours_drop_flag,0.0004043714593772256
job_sat_hours,0.00038733415523258387
job_satisfaction_missing_count,0.00020565687862838242
one_person_firm_flag,0.00020376813579172536
job_sat_content,5.3321047554718836e-05
occupation_changed_lag1,0.0
industry_changed_lag1,0.0
region_changed_lag1,0.0
wage_drop_flag,0.0
gt52,0.0
post_covid_period,0.0
covid_period,0.0
post_2018_workweek_reform,0.0
ge55,0.0
long_tenure_flag,0.0
young_worker_flag,0.0
monthly_wage_missing,0.0
weekly_hours_missing,0.0
