Model,Metric,Bootstrap mean,95% CI
logistic,roc_auc,0.7,"[0.6888, 0.7099]"
logistic,pr_auc,0.1702,"[0.1598, 0.1803]"
logistic,brier,0.1671,"[0.1650, 0.1690]"
random_forest,roc_auc,0.7317,"[0.7221, 0.7416]"
random_forest,pr_auc,0.1947,"[0.1825, 0.2055]"
random_forest,brier,0.1079,"[0.1063, 0.1094]"
xgboost,roc_auc,0.7298,"[0.7198, 0.7395]"
xgboost,pr_auc,0.1966,"[0.1834, 0.2077]"
xgboost,brier,0.0766,"[0.0739, 0.0791]"
catboost,roc_auc,0.7333,"[0.7232, 0.7429]"
catboost,pr_auc,0.1998,"[0.1876, 0.2121]"
catboost,brier,0.0763,"[0.0737, 0.0787]"
hybrid_stack,roc_auc,0.7342,"[0.7246, 0.7432]"
hybrid_stack,pr_auc,0.1996,"[0.1870, 0.2113]"
hybrid_stack,brier,0.1811,"[0.1794, 0.1829]"
