Occupation major code,N,Mean SHAP,Median SHAP,Mean absolute SHAP,Direction
513.0,38,0.1970683224631276,0.1908005411743199,0.1970683224631276,higher_exit_risk
412.0,30,0.196826298227476,0.1951075960433477,0.1968262982274761,higher_exit_risk
317.0,32,0.1934391139998078,0.2030184060934502,0.1934391139998078,higher_exit_risk
413.0,12,0.1907848316621494,0.1838594587696225,0.1907848316621494,higher_exit_risk
415.0,12,0.1907212387714235,0.1712567295420247,0.1907212387714235,higher_exit_risk
915.0,49,0.1843177494302048,0.1960101380103219,0.1843177494302048,higher_exit_risk
252.0,31,0.1813331447924962,0.183120295852308,0.1813331447924962,higher_exit_risk
744.0,1,0.1738948621142359,0.1738948621142359,0.1738948621142359,higher_exit_risk
914.0,124,0.1725788956641403,0.1759585309332684,0.1725788956641403,higher_exit_risk
814.0,2,0.1714972283539064,0.1714972283539064,0.1714972283539064,higher_exit_risk
