Industry major code,N,Mean SHAP,Median SHAP,Mean absolute SHAP,Direction
519.0,3,0.20138607766497,0.2268834947762502,0.20138607766497,higher_exit_risk
712.0,6,0.1948404298040129,0.1990246650323702,0.1948404298040129,higher_exit_risk
503.0,1,0.1881838427038331,0.1881838427038331,0.1881838427038331,higher_exit_risk
12.0,1,0.1729640092276877,0.1729640092276877,0.1729640092276877,higher_exit_risk
331.0,15,0.1712371369838346,0.1942775332523254,0.1712371369838347,higher_exit_risk
889.0,7,0.1641005031120077,0.1847477789262198,0.1641005031120077,higher_exit_risk
742.0,16,0.1596849233240495,0.1868819481382646,0.1596849233240496,higher_exit_risk
182.0,1,0.1559086811682837,0.1559086811682837,0.1559086811682837,higher_exit_risk
765.0,2,0.1548299978605041,0.1548299978605041,0.1548299978605041,higher_exit_risk
450.0,11,0.1533421761515151,0.1400435207266829,0.1533421761515151,higher_exit_risk
